ID,Name,Use,Etc
bgm_0001,Main Theme,BGM,메인 음악
bgm_0002,Battle,BGM,
bgm_0003,Sunny Whiskers,BGM,
bgm_0004,12PM_2,BGM,
bgm_0005,12PM_1,BGM,
bgm_0006,bossa nova,BGM,
bgm_0007,Calm sea,BGM,
bgm_0008,Coastal,BGM,
bgm_0009,Cozy Waves,BGM,
bgm_0010,Once Upon a Time,BGM,
bgm_0011,Sea ​​of ​​clouds,BGM,
bgm_0012,Sunny Store,BGM,
bgm_0013,Midnight Strings,BGM,
bgm_0014,Golden Hour Glow,BGM,
bgm_0015,Night Ocean,BGM,
bgm_0016,Ocean Drift,BGM,
env_0001,Ocean 02,Environment,파도치는 소리
env_0002,Seegull 01,Environment,갈매기 소리
fx_0001,pop-39222,FX,버튼 클릭 소리
fx_0002,thud-impact-sound-sfx-379990,FX,
fx_0003,beep-6-96243,FX,
fx_0004,small-rock-break-194553,FX,선박 파괴되는 소리
fx_0005,fishing-reel-302355,FX,낚시릴 감는 소리
fx_0006,water_drop-6707,FX,목소리
fx_0007,pencil-29272_[cut_1sec],FX,연필 쓰기
fx_0008,cinematic-impact-38066,FX,카운트다운
fx_0009,repair_metal-85833,FX,수리 소리
fx_0010,water-drop-oil-s,FX,작은오일통 사용
fx_0011,water-drop-oil-b,FX,큰 오일통 사용
fx_0012,repair_metal-85833,FX,스킬 강화시 게이지 올라갈 때
fx_0013,Box open,FX,럭키박스 클릭했을 때
fx_0014,cha ching-sound,FX,돈 들어올 때
fx_0015,fish-catch,FX,물고기 잡았을 때
fx_0016,fish-fail,FX,물고기 놓쳤을 때
fx_0017,fish-drop,FX,물고기 인벤에 놓는 소리
fx_0018,Lottery Scratch,FX,복권 스크래치 소리
fx_1000,Boat engine Sound,FX,배 소리 기본
fx_1001,Raft Sound,FX,뗏목 소리
fx_1002,Swanboat Sound,FX,오리배 소리
fx_1003,Speedboat Sound,FX,쾌속선 소리
fx_1004,Cruise Sound,FX,크루즈 소리
fx_1005,Fishingboat Sound,FX,통통배 소리
fx_1006,Sailboat Sound,FX,범선 소리
