ID,Name,Description,Icon,Class,Shape,Weight,Price,Item Type,Area Type,FishDayType,Size,Health,Power,Speed,Cool Time,SpellTime,GroggyTime,DefenseCount,FishLaze,Buff Duration,Buff Value,메모,,,,,,
fs_1001,anchovy,fs_1001_01,fs_1001_anchovy,Common,-,0.2,80,Fish,Shallow,Day,0.5;10,6,0.5,2,0,0,0,0,1,100,0.03,멸치,,,,,,
fs_1002,mackerel,fs_1002_01,fs_1002_mackerel,Common,1;0,2,85,Fish,Shallow,Day,20;60,15,1,5,3,4,3,1,0.5,150,0.3,고등어,,참고,,,,
fs_1003,horsemackerel,fs_1003_01,fs_1003_horsemackerel,Common,-,0.6,100,Fish,Shallow,Day,10;50,13,2,3,2,5,2,1,1,600,0.09,전갱이,,FishLaze = 이동 후 정지 할 확률 (0~1 : 1인경우 이동후 확실하게 정지),,,,
fs_1004,saury,fs_1004_01,fs_1004_saury,Common,1;0,1,80,Fish,Shallow,Day,20;40,13,1,3,0,0,0,0,0.5,500,0.15,꽁치,,,,,,
fs_1005,seaurchin,fs_1005_01,fs_1005_seaurchin,Common,-,1,100,Fish,Shallow,Night,10;50,15,1,1,5,10,1,6,1,600,0.15,성게,,Buff Duration을 시간으로 하지 말고 횟수로 하자 - 차지하는 칸 * 3,,,,
fs_1006,bigfinreefsquid,fs_1006_01,fs_1006_bigfinreefsquid,Common,0;-1,2,130,Fish,Shallow,Night,15;45,20,1.7,3.5,4,3,2,3,0.8,600,0.3,무늬오징어,,Buff Value는 1~10  - 등급이 높을 수록 낮게,,,,
fs_1007,filefish,fs_1007_01,fs_1007_filefish,Common,-,0.8,110,Fish,Shallow,Day,8;30,10,3,2,3,5,3,2,1,500,0.12,쥐치,,,,,,
fs_1008,yellowtang,fs_1008_01,fs_1008_yellowtang,Common,-,1.5,120,Fish,Shallow,Day,7.5;20,10,1,3,2,4,3,3,0.5,550,0.225,옐로우탱,,"중요한 내용은 물고기 파워, 물고기 체력, 낚시 파워가 중요한데 1000체력은 낚시 파워가 감당이 안됨",,,,
fs_1009,butterflyfish,fs_1009_01,fs_1009_butterflyfish,Common,-,1.5,130,Fish,Shallow,Day,10.5;30,10,1,3,1,3,4,2,0.5,600,0.225,나비고기,,기준 ,,,,
fs_1010,cleanerwrasse,fs_1010_01,fs_1010_cleanerwrasse,Common,-,2,100,Fish,Shallow,Night,5.2;20,12,1.2,3,1,4,1,2,1,600,0.3,청소놀래기,,물고기 속도,1~30,,,
fs_1011,chromis,fs_1011_01,fs_1011_chromis,Common,-,0.8,90,Fish,Shallow,Day,8;20,10,1.5,4,3,3,1,2,0.7,550,0.12,자리돔,,물고기 체력,10~500,체력 500 : 공격력 최대 (10)방해 없이 1분걸림,,
fs_1012,pinkshrimp,fs_1012_01,fs_1012_pinkshrimp,Common,-,0.3,90,Fish,Shallow,Day,2.5;12,10,1,3,2,4,2,2,1,400,0.045,단새우,,물고기 파워,1~30,,,
