ID,English,Korean,Japanese, Chinese,Type,,,
di_0001_a,I need a {0},{0}가 필요해,{0} が 必要 だ,我 需要 {0},대화,,0~,플레이어
di_0001_b,boat,배,船,船,단어,,1000~,생선장수
di_0001_c,Go to the shipyard,조선소로 가보자.,造船所に 行こう,去 船坞 看看,Select,,2000~,조선소사장
di_0002_a,Cheer up and let's start over from the beginning,기운 내서 처음부터 다시 가자,元気 を 出して 最初 から やり直そう,振作 起来 我们 从头 再 来 吧,대화,,3000~,여관주인
di_0002_b,Enter village,마을 들어가기,村に 入る,进入 村庄,Select,,4000~,밀수꾼
di_0003_a,First I need a ship let's go to the shipyard,일단 배가 필요해. 조선소로 가보자.,まず 船が 必要だ 造船所に 行こう,首先 我 需要 船 我们 去 造船厂 吧,대화,,,
di_0004_a,The ship is not moving I need to service the ship,배가 움직이지 않아 배를 정비해야 해,船が 動か ない 船を 整備しなければならない,船 动 不了 了 我 需要 检修 船只,대화,,,
di_0005_a,The inn was lending money I should go there,여관에서 돈을 빌려주던데 가봐야겠다.,宿屋で お金を 貸して くれる そうだ 行って みよう,听说 旅馆 会 借钱 给我 得去 看看,대화,,,
di_0006_a,It seems it has not opened yet,아직 열지 않은 것 같다.,まだ 開いて いない ようだ,好像 还没 有 开门,대화,,,
di_0006_b,Exit,나가기,出る,退出,Select,,,
di_0007_a,There is {0},{0}것도 없다.,{0}も ない,{0}么 都 没有,대화,,,
di_0007_b,nothing,아무,何,什,단어,,,
di_0008_a,{0} should we go?,{0} 갈까,{0}へ 行こう か,我们 去 {0},대화,,,
di_0008_b,Where,어디로,どこ,哪里,단어,,,
di_0008_d,Street,거리,街,街道,Select,,,
di_0008_e,Going back,돌아간다.,戻る,返回,Select,,,
di_0009_a,Since we bought a new ship let's go to the {0}.,새로운 배를 샀으니 {0}으로 가보자.,新しい 船 を 買った ので {0}に 行こう.,因为 买 了 新 船 我们 去 {0}吧.,대화,,,
di_0009_b,pier,선착장,桟橋 ,码头 ,단어,,,
di_1001_a,Buy {0}~We have fresh and {1},{0} 사세요~신선하고 {1}이 있어요.,{0} いかがですか~新鮮 で {1} が あります,快来 {0} 吧~这里 有 新鲜 又 {1},대화,,,
di_1001_b,fish,생선,お魚,买鱼,단어,,,
di_1001_c,delicious fish,맛있는 생선,おいしい お魚,好吃 的 鱼,단어,,,
di_1001_d,Welcome buy fresh fish,반가워요. 신선한 생선 사가세요.,いらっしゃいませ 新鮮 な 魚 を 買って いってください,欢迎 光临 请 买 新鲜 的 鱼,대화,,,
di_1001_e,I want to see the items,물건을 보고 싶어,品物 を 見たい,我想 看看 物品,Select,,,
di_2001_a,{0}look who it is What's going on today?,{0}이게 누구야 오늘은 무슨 일이지?,{0}これは 誰 ですか 今日 は どうしましたか,{0}这是 谁呀 今天 有 什么 事 吗,대화,,,
di_2001_b,Well~ ,오~,おや~,哦~,단어,,,
di_2001_c,I want to buy an item,물건을 사고 싶어,物を 買いたい,我想 买 东西,Select,,,
di_2001_d,I want to upgrade my ship,배를 강화하고 싶어,船 を 強化 したい,我想 强化 船,Select,,,
di_2002_a,First go and repair the ship...If you try to {0}it like this everything will be destroyed,일단 배부터 고치고 오게...이대로 {0} 하다간 모두 부서져 버릴거야.,先に 船 を 修理 して ください...この 状態 で {0}すると 全部 崩壊 します,先 去 修理 船吧...这样 继续 {0} 会 全都 毁掉 的,대화,,,
di_2002_b,upgrade,강화,強化,强化,단어,,,
di_2002_c,End of conversation,대화 마침,会話 終了,对话 结束,Select,,,
di_2003_a,Do you need a ship?,배가 필요한가?,船 が 必要 ですか?,需要 船 吗?,대화,,,
di_2003_b,I only have {0}ship right now,지금은 배가 {0}밖에 없어.,今 は 船 が {0}しか ない,现在 只有 {0} 船,대화,,,
di_2003_c,one,하나,一隻,一艘,단어,,,
di_2003_d,And do not strain yourself looking around at various things The ship will not depart without {0},그리고 무리해서 이것저것 구경하지 말아. {0}가 없으면 배는 출발하지 않는다구.,それと 無理 して 色々 見て 回る な {0}が 無ければ 船 は 出発 しない ぞ,还有 不要 勉强 四处 参观 没有 {0}船 是 不会 出发 的,대화,,,
di_2003_e,fuel,연료,燃料,燃料,단어,,,
di_2003_f,Come this way,이쪽으로 오라구.,こっち に 来い,到 这边 来,Select,,,
di_3001_a,Stay and have a drink,술 한 잔 하고 가세요.,お 酒 でも 飲んで 行きませんか,留 下来 喝 一杯 吧,대화,,,
