ID,English,Korean,Japanese, Chinese,Type,,
sk_001_00,Steel fishing line 1,강철 낚시줄 1,鋼鉄の釣り糸 1,钢制鱼线 1,스킬,,
sk_001_00_a,The fishing area expands,낚시 영역이 넓어진다.,釣りのエリアが 広がる,捕鱼区域扩大了,설명,,
sk_001_01,Steel fishing line 2,강철 낚시줄 2,鋼鉄の釣り糸 2,钢制鱼线 2,스킬,,
sk_001_01_a,The fishing area expands,낚시 영역이 넓어진다.,釣りのエリアが 広がる,捕鱼区域扩大了,설명,,
sk_001_02,Steel fishing line 3,강철 낚시줄 3,鋼鉄の釣り糸 3,钢制鱼线 3,스킬,,
sk_001_02_a,The fishing area expands,낚시 영역이 넓어진다.,釣りのエリアが 広がる,捕鱼区域扩大了,설명,,
sk_001_03,Steel fishing line 4,강철 낚시줄 4,鋼鉄の釣り糸 4,钢制鱼线 4,스킬,,
sk_001_03_a,The fishing area expands,낚시 영역이 넓어진다.,釣りのエリアが 広がる,捕鱼区域扩大了,설명,,
sk_001_04,Steel fishing line 5,강철 낚시줄 5,鋼鉄の釣り糸 5,钢制鱼线 5,스킬,,
sk_001_04_a,The fishing area expands,낚시 영역이 넓어진다.,釣りのエリアが 広がる,捕鱼区域扩大了,설명,,
sk_001_05,Steel fishing line 6,강철 낚시줄 6,鋼鉄の釣り糸 6,钢制鱼线 6,스킬,,
sk_001_05_a,The fishing area expands,낚시 영역이 넓어진다.,釣りのエリアが 広がる,捕鱼区域扩大了,설명,,
sk_001_06,Steel fishing line 7,강철 낚시줄 7,鋼鉄の釣り糸 7,钢制鱼线 7,스킬,,
sk_001_06_a,The fishing area expands,낚시 영역이 넓어진다.,釣りのエリアが 広がる,捕鱼区域扩大了,설명,,
sk_001_07,Steel fishing line 8,강철 낚시줄 8,鋼鉄の釣り糸 8,钢制鱼线 8,스킬,,
sk_001_07_a,The fishing area expands,낚시 영역이 넓어진다.,釣りのエリアが 広がる,捕鱼区域扩大了,설명,,
sk_001_08,Steel fishing line 9,강철 낚시줄 9,鋼鉄の釣り糸 9,钢制鱼线 9,스킬,,
sk_001_08_a,The fishing area expands,낚시 영역이 넓어진다.,釣りのエリアが 広がる,捕鱼区域扩大了,설명,,
sk_001_09,Steel fishing line 10,강철 낚시줄 10,鋼鉄の釣り糸 10,钢制鱼线 10,스킬,,
sk_001_09_a,The fishing area expands,낚시 영역이 넓어진다.,釣りのエリアが 広がる,捕鱼区域扩大了,설명,,
