ID,Name,Description,AddStatusString,SkillType,Icon,Price,CatchRadius,CatchSpeed,CatchPower,CatchHealth,ShipSpeed,MaxWeight,MaxEnergy,Efficient,MaxBoxSize,ShipHealth,luckFish,FishAmount,FishPrice,StorageSize,비고,,
sk_001_00,강철 낚시줄 1,sk_001_00_a,CatchRadius + 1,AddStatus,Icon_Sk_001,1,0.1,,,,,,,,,,,,,,화살표 개수 줄어듦,,
sk_001_01,강철 낚시줄 2,sk_001_00_a,CatchRadius + 1,AddStatus,Icon_Sk_001,1,0.1,,,,,,,,,,,,,,,,
sk_001_02,강철 낚시줄 3,sk_001_00_a,CatchRadius + 1,AddStatus,Icon_Sk_001,1,0.1,,,,,,,,,,,,,,,,
sk_001_03,강철 낚시줄 4,sk_001_00_a,CatchRadius+1,AddStatus,Icon_Sk_001,1,0.1,,,,,,,,,,,,,,,,
sk_001_04,강철 낚시줄 5,sk_001_00_a,CatchRadius+1,AddStatus,Icon_Sk_001,1,0.1,,,,,,,,,,,,,,,,
sk_002_00,강력한 이두근 1,sk_002_00_a,CatchPower+1,AddStatus,Icon_Sk_002,1,,,1,,,,,,,,,,,,,,
sk_002_01,강력한 이두근 2,sk_002_00_a,CatchPower+1,AddStatus,Icon_Sk_002,1,,,1,,,,,,,,,,,,,,
sk_002_02,강력한 이두근 3,sk_002_00_a,CatchPower+1,AddStatus,Icon_Sk_002,1,,,1,,,,,,,,,,,,,,
sk_002_03,강력한 이두근 4,sk_002_00_a,CatchPower+1,AddStatus,Icon_Sk_002,1,,,1,,,,,,,,,,,,,,
sk_002_04,강력한 이두근 5,sk_002_00_a,CatchPower+1,AddStatus,Icon_Sk_002,1,,,1,,,,,,,,,,,,,,
sk_003_00,재빠른 손놀림 1,sk_003_00_a,CatchSpeed+1,AddStatus,Icon_Sk_003,1,,1,,,,,,,,,,,,,,,
sk_003_01,재빠른 손놀림 2,sk_003_00_a,CatchSpeed+1,AddStatus,Icon_Sk_003,1,,1,,,,,,,,,,,,,,,
sk_003_02,재빠른 손놀림 3,sk_003_00_a,CatchSpeed+1,AddStatus,Icon_Sk_003,1,,1,,,,,,,,,,,,,,,
sk_003_03,재빠른 손놀림 4,sk_003_00_a,CatchSpeed+1,AddStatus,Icon_Sk_003,1,,1,,,,,,,,,,,,,,,
sk_003_04,재빠른 손놀림 5,sk_003_00_a,CatchSpeed+1,AddStatus,Icon_Sk_003,1,,1,,,,,,,,,,,,,,,
sk_003_05,재빠른 손놀림 6,sk_003_00_a,CatchSpeed+1,AddStatus,Icon_Sk_003,1,,1,,,,,,,,,,,,,,,
sk_003_06,재빠른 손놀림 7,sk_003_00_a,CatchSpeed+1,AddStatus,Icon_Sk_003,1,,1,,,,,,,,,,,,,,,
sk_003_07,재빠른 손놀림 8,sk_003_00_a,CatchSpeed+1,AddStatus,Icon_Sk_003,1,,1,,,,,,,,,,,,,,,
sk_003_08,재빠른 손놀림 9,sk_003_00_a,CatchSpeed+1,AddStatus,Icon_Sk_003,1,,1,,,,,,,,,,,,,,,
sk_003_09,재빠른 손놀림 10,sk_003_00_a,CatchSpeed+1,AddStatus,Icon_Sk_003,1,,1,,,,,,,,,,,,,,,
sk_004_00,신들린 컨트롤 1,sk_004_00_a,ShipSpeed+1,AddStatus,Icon_Sk_004,1,,,,,1,,,,,,,,,,,,
sk_004_01,신들린 컨트롤 2,sk_004_00_a,ShipSpeed+1,AddStatus,Icon_Sk_004,1,,,,,1,,,,,,,,,,,,
sk_004_02,신들린 컨트롤 3,sk_004_00_a,ShipSpeed+1,AddStatus,Icon_Sk_004,1,,,,,1,,,,,,,,,,,,
sk_004_03,신들린 컨트롤 4,sk_004_00_a,ShipSpeed+1,AddStatus,Icon_Sk_004,1,,,,,1,,,,,,,,,,,,
sk_004_04,신들린 컨트롤 5,sk_004_00_a,ShipSpeed+1,AddStatus,Icon_Sk_004,1,,,,,1,,,,,,,,,,,,
sk_005_00,욕심쟁이 1 - 깊은 물에서 낚시,sk_005_00_a,MaxWeight+1,AddStatus,Icon_Sk_005,1,,,,,,1,,,,,,,,,,,
sk_005_01,욕심쟁이 2,sk_005_00_a,MaxWeight+1,AddStatus,Icon_Sk_005,1,,,,,,1,,,,,,,,,,,
sk_005_02,욕심쟁이 3,sk_005_00_a,MaxWeight+1,AddStatus,Icon_Sk_005,1,,,,,,1,,,,,,,,,,,
sk_005_03,욕심쟁이 4,sk_005_00_a,MaxWeight+1,AddStatus,Icon_Sk_005,1,,,,,,1,,,,,,,,,,,
sk_005_04,욕심쟁이 5,sk_005_00_a,MaxWeight+1,AddStatus,Icon_Sk_005,1,,,,,,1,,,,,,,,,,,
sk_006_00,방랑자 1,sk_006_00_a,MaxEnergy+1,AddStatus,Icon_Sk_006,1,,,,,,,1,,,,,,,,,,
sk_006_01,방랑자 2,sk_006_00_a,MaxEnergy+1,AddStatus,Icon_Sk_006,1,,,,,,,1,,,,,,,,,,
sk_006_02,방랑자 3,sk_006_00_a,MaxEnergy+1,AddStatus,Icon_Sk_006,1,,,,,,,1,,,,,,,,,,
sk_006_03,방랑자 4,sk_006_00_a,MaxEnergy+1,AddStatus,Icon_Sk_006,1,,,,,,,1,,,,,,,,,,
sk_006_04,방랑자 5,sk_006_00_a,MaxEnergy+1,AddStatus,Icon_Sk_006,1,,,,,,,1,,,,,,,,,,
sk_007_00,친환경 1,sk_007_00_a,MaxEfficient+1,AddStatus,Icon_Sk_007,1,,,,,,,,1,,,,,,,,,
sk_007_01,친환경 2,sk_007_00_a,MaxEfficient+1,AddStatus,Icon_Sk_007,1,,,,,,,,1,,,,,,,,,
sk_007_02,친환경 3,sk_007_00_a,MaxEfficient+1,AddStatus,Icon_Sk_007,1,,,,,,,,1,,,,,,,,,
sk_007_03,친환경 4,sk_007_00_a,MaxEfficient+1,AddStatus,Icon_Sk_007,1,,,,,,,,1,,,,,,,,,
sk_007_04,친환경 5,sk_007_00_a,MaxEfficient+1,AddStatus,Icon_Sk_007,1,,,,,,,,1,,,,,,,,,
sk_008_00,인벤토리 증가 1,sk_008_00_a,MaxBoxSize+1,AddStatus,Icon_Sk_008,1,,,,,,,,,1;0,,,,,,,,
sk_008_01,인벤토리 증가 2,sk_008_00_a,MaxBoxSize+1,AddStatus,Icon_Sk_008,1,,,,,,,,,0;1,,,,,,,,
sk_008_02,인벤토리 증가 3,sk_008_00_a,MaxBoxSize+1,AddStatus,Icon_Sk_008,1,,,,,,,,,1;0,,,,,,,,
sk_008_03,인벤토리 증가 4,sk_008_00_a,MaxBoxSize+1,AddStatus,Icon_Sk_008,1,,,,,,,,,0;1,,,,,,,,
sk_008_04,인벤토리 증가 5,sk_008_00_a,MaxBoxSize+1,AddStatus,Icon_Sk_008,1,,,,,,,,,1;0,,,,,,,,
sk_009_00,두꺼운 피부 1,sk_009_00_a,ShipHealth+1,AddStatus,Icon_Sk_009,1,,,,,,,,,,1,,,,,,,
sk_009_01,두꺼운 피부 2,sk_009_00_a,ShipHealth+1,AddStatus,Icon_Sk_009,1,,,,,,,,,,1,,,,,,,
sk_009_02,두꺼운 피부 3,sk_009_00_a,ShipHealth+1,AddStatus,Icon_Sk_009,1,,,,,,,,,,1,,,,,,,
sk_010_00,일타쌍어 1,sk_010_00_a,LuckFish+1,AddStatus,Icon_Sk_010,1,,,,,,,,,,,1,,,,,,
sk_010_01,일타쌍어 2,sk_010_00_a,LuckFish+1,AddStatus,Icon_Sk_010,1,,,,,,,,,,,1,,,,,,
sk_010_02,일타쌍어 3,sk_010_00_a,LuckFish+1,AddStatus,Icon_Sk_010,1,,,,,,,,,,,1,,,,,,
sk_010_03,일타쌍어 4,sk_010_00_a,LuckFish+1,AddStatus,Icon_Sk_010,1,,,,,,,,,,,1,,,,,,
sk_010_04,일타쌍어 5,sk_010_00_a,LuckFish+1,AddStatus,Icon_Sk_010,1,,,,,,,,,,,1,,,,,,
sk_010_05,일타쌍어 6,sk_010_00_a,LuckFish+1,AddStatus,Icon_Sk_010,1,,,,,,,,,,,1,,,,,,
sk_010_06,일타쌍어 7,sk_010_00_a,LuckFish+1,AddStatus,Icon_Sk_010,1,,,,,,,,,,,1,,,,,,
sk_010_07,일타쌍어 8,sk_010_00_a,LuckFish+1,AddStatus,Icon_Sk_010,1,,,,,,,,,,,1,,,,,,
sk_010_08,일타쌍어 9,sk_010_00_a,LuckFish+1,AddStatus,Icon_Sk_010,1,,,,,,,,,,,1,,,,,,
sk_010_09,일타쌍어 10,sk_010_00_a,LuckFish+1,AddStatus,Icon_Sk_010,1,,,,,,,,,,,1,,,,,,
sk_011_00,낚시횟수 증가 1,sk_011_00_a,FishAmount+1,AddStatus,Icon_Sk_011,1,,,,,,,,,,,,1,,,물고기 두마리 나올 확률,,
sk_011_01,낚시횟수 증가 2,sk_011_00_a,FishAmount+1,AddStatus,Icon_Sk_011,1,,,,,,,,,,,,1,,,,,
sk_011_02,낚시횟수 증가 3,sk_011_00_a,FishAmount+1,AddStatus,Icon_Sk_011,1,,,,,,,,,,,,1,,,,,
sk_012_00,수완가 1,sk_012_00_a,FishPrice+1,AddStatus,Icon_Sk_012,1,,,,,,,,,,,,,1,,,,
sk_012_01,수완가 2,sk_012_00_a,FishPrice+1,AddStatus,Icon_Sk_012,1,,,,,,,,,,,,,1,,,,
sk_012_02,수완가 3,sk_012_00_a,FishPrice+1,AddStatus,Icon_Sk_012,1,,,,,,,,,,,,,1,,,,
sk_012_03,수완가 4,sk_012_00_a,FishPrice+1,AddStatus,Icon_Sk_012,1,,,,,,,,,,,,,1,,,,
sk_012_04,수완가 5,sk_012_00_a,FishPrice+1,AddStatus,Icon_Sk_012,1,,,,,,,,,,,,,1,,,,
sk_012_05,수완가 6,sk_012_00_a,FishPrice+1,AddStatus,Icon_Sk_012,1,,,,,,,,,,,,,,,,,
sk_012_06,수완가 7,sk_012_00_a,FishPrice+1,AddStatus,Icon_Sk_012,1,,,,,,,,,,,,,,,,,
sk_012_07,수완가 8,sk_012_00_a,FishPrice+1,AddStatus,Icon_Sk_012,1,,,,,,,,,,,,,,,,,
sk_012_08,수완가 9,sk_012_00_a,FishPrice+1,AddStatus,Icon_Sk_012,1,,,,,,,,,,,,,,,,,
sk_012_09,수완가 10,sk_012_00_a,FishPrice+1,AddStatus,Icon_Sk_012,1,,,,,,,,,,,,,,,,,
sk_013_00,창고확장 1,sk_013_00_a,Storage+1,AddStatus,Icon_Sk_013,1,,,,,,,,,,,,,,1:0,,,
sk_013_01,창고확장 2,sk_013_00_a,Storage+1,AddStatus,Icon_Sk_013,1,,,,,,,,,,,,,,1:0,,,
sk_013_02,창고확장 3,sk_013_00_a,Storage+1,AddStatus,Icon_Sk_013,1,,,,,,,,,,,,,,1:0,,,
sk_013_03,창고확장 4,sk_013_00_a,Storage+1,AddStatus,Icon_Sk_013,1,,,,,,,,,,,,,,1:0,,,
sk_013_04,창고확장 5,sk_013_00_a,Storage+1,AddStatus,Icon_Sk_013,1,,,,,,,,,,,,,,0;1,,,
sk_013_05,창고확장 6,sk_013_00_a,Storage+1,AddStatus,Icon_Sk_013,1,,,,,,,,,,,,,,0;1,,,
sk_013_06,창고확장 7,sk_013_00_a,Storage+1,AddStatus,Icon_Sk_013,1,,,,,,,,,,,,,,0;1,,,
sk_013_07,창고확장 8,sk_013_00_a,Storage+1,AddStatus,Icon_Sk_013,1,,,,,,,,,,,,,,0;1,,,
sk_013_08,창고확장 9,sk_013_00_a,Storage+1,AddStatus,Icon_Sk_013,1,,,,,,,,,,,,,,,,,
sk_013_09,창고확장 10,sk_013_00_a,Storage+1,AddStatus,Icon_Sk_013,1,,,,,,,,,,,,,,,,,
sk_014_00,쉬운 방어 1,sk_014_00_a,DefenseCount-1 Chance,Etc,Icon_Sk_014,1,,,,,,,,,,,,,,,공격 화살표 감소할 확률,,
sk_014_01,쉬운 방어 2,sk_014_00_a,DefenseCount-1 Chance,Etc,Icon_Sk_014,1,,,,,,,,,,,,,,,,,
sk_014_02,쉬운 방어 3,sk_014_00_a,DefenseCount-1 Chance,Etc,Icon_Sk_014,1,,,,,,,,,,,,,,,,,
sk_014_03,쉬운 방어 4,sk_014_00_a,DefenseCount-1 Chance,Etc,Icon_Sk_014,1,,,,,,,,,,,,,,,,,
sk_014_04,쉬운 방어 5,sk_014_00_a,DefenseCount-1 Chance,Etc,Icon_Sk_014,1,,,,,,,,,,,,,,,,,
sk_015_00,튼튼한 낚싯대 1,sk_015_00_a,CatchHealth+1,AddStatus,Icon_Sk_015,1,,,,1,,,,,,,,,,,,,
sk_015_01,튼튼한 낚싯대 2,sk_015_00_a,CatchHealth+1,AddStatus,Icon_Sk_015,1,,,,1,,,,,,,,,,,,,
sk_015_02,튼튼한 낚싯대 3,sk_015_00_a,CatchHealth+1,AddStatus,Icon_Sk_015,1,,,,1,,,,,,,,,,,,,
sk_015_03,튼튼한 낚싯대 4,sk_015_00_a,CatchHealth+1,AddStatus,Icon_Sk_015,1,,,,1,,,,,,,,,,,,,
sk_015_04,튼튼한 낚싯대 5,sk_015_00_a,CatchHealth+1,AddStatus,Icon_Sk_015,1,,,,1,,,,,,,,,,,,,
sk_015_05,튼튼한 낚싯대 6,sk_015_00_a,CatchHealth+1,AddStatus,Icon_Sk_015,1,,,,1,,,,,,,,,,,,,
sk_015_06,튼튼한 낚싯대 7,sk_015_00_a,CatchHealth+1,AddStatus,Icon_Sk_015,1,,,,1,,,,,,,,,,,,,
sk_015_07,튼튼한 낚싯대 8,sk_015_00_a,CatchHealth+1,AddStatus,Icon_Sk_015,1,,,,1,,,,,,,,,,,,,
sk_015_08,튼튼한 낚싯대 9,sk_015_00_a,CatchHealth+1,AddStatus,Icon_Sk_015,1,,,,1,,,,,,,,,,,,,
sk_015_09,튼튼한 낚싯대 10,sk_015_00_a,CatchHealth+1,AddStatus,Icon_Sk_015,1,,,,1,,,,,,,,,,,,,
sk_016_01,부스터! 2,sk_016_00_a,Booster+1,Etc,Icon_Sk_016,1,,,,,,,,,,,,,,,,,
sk_016_02,부스터! 3,sk_016_00_a,Booster+1,Etc,Icon_Sk_016,1,,,,,,,,,,,,,,,,,
sk_016_03,부스터! 4,sk_016_00_a,Booster+1,Etc,Icon_Sk_016,1,,,,,,,,,,,,,,,,,
sk_016_04,부스터! 5,sk_016_00_a,Booster+1,Etc,Icon_Sk_016,1,,,,,,,,,,,,,,,,,
sk_016_00,부스터! 1,sk_017_00_a,Booster+1,Etc,Icon_Sk_016,1,,,,,,,,,,,,,,,부스터 사용,,
sk_017_00,부스터 크기 1,sk_017_00_a,BoosterSize+1,Etc,Icon_Sk_017,1,,,,,,,,,,,,,,,,,
sk_017_01,부스터 크기 2,sk_017_00_a,BoosterSize+1,Etc,Icon_Sk_017,1,,,,,,,,,,,,,,,,,
sk_017_02,부스터 크기 3,sk_017_00_a,BoosterSize+1,Etc,Icon_Sk_017,1,,,,,,,,,,,,,,,,,
sk_017_03,부스터 크기 4,sk_017_00_a,BoosterSize+1,Etc,Icon_Sk_017,1,,,,,,,,,,,,,,,,,
sk_017_04,부스터 크기 5,sk_017_00_a,BoosterSize+1,Etc,Icon_Sk_017,1,,,,,,,,,,,,,,,,,
sk_017_05,부스터 크기 6,sk_017_00_a,BoosterSize+1,Etc,Icon_Sk_017,1,,,,,,,,,,,,,,,,,
sk_017_06,부스터 크기 7,sk_017_00_a,BoosterSize+1,Etc,Icon_Sk_017,1,,,,,,,,,,,,,,,,,
sk_018_00,허점 꿰뚫기 1,sk_018_00_a,FishHealth-1,Etc,Icon_Sk_018,1,,,,,,,,,,,,,,,,,
sk_018_01,허점 꿰뚫기 2,sk_018_00_a,FishHealth-2,Etc,Icon_Sk_018,1,,,,,,,,,,,,,,,,,
sk_018_02,허점 꿰뚫기 3,sk_018_00_a,FishHealth-3,Etc,Icon_Sk_018,1,,,,,,,,,,,,,,,,,
sk_018_03,허점 꿰뚫기 4,sk_018_00_a,FishHealth-4,Etc,Icon_Sk_018,1,,,,,,,,,,,,,,,,,
sk_018_04,허점 꿰뚫기 5,sk_018_00_a,FishHealth-5,Etc,Icon_Sk_018,1,,,,,,,,,,,,,,,,,충돌 시 회피 확률
sk_019_00,수중 슬로우 1,sk_019_00_a,FishSpeed-1,Etc,Icon_Sk_019,1,,,,,,,,,,,,,,,,,
sk_019_01,수중 슬로우 2,sk_019_00_a,FishSpeed-1,Etc,Icon_Sk_019,1,,,,,,,,,,,,,,,,,
sk_019_02,수중 슬로우 3,sk_019_00_a,FishSpeed-1,Etc,Icon_Sk_019,1,,,,,,,,,,,,,,,,,
sk_019_03,수중 슬로우 4,sk_019_00_a,FishSpeed-1,Etc,Icon_Sk_019,1,,,,,,,,,,,,,,,,,
sk_019_04,수중 슬로우 5,sk_019_00_a,FishSpeed-1,Etc,Icon_Sk_019,1,,,,,,,,,,,,,,,,,
sk_020_00,솜방망이 공격 1,sk_020_00_a,FishPower-1,Etc,Icon_Sk_020,1,,,,,,,,,,,,,,,,,
sk_020_01,솜방망이 공격 2,sk_020_00_a,FishPower-1,Etc,Icon_Sk_020,1,,,,,,,,,,,,,,,,,
sk_020_02,솜방망이 공격 3,sk_020_00_a,FishPower-1,Etc,Icon_Sk_020,1,,,,,,,,,,,,,,,,,
sk_020_03,솜방망이 공격 4,sk_020_00_a,FishPower-1,Etc,Icon_Sk_020,1,,,,,,,,,,,,,,,,,
sk_020_04,솜방망이 공격 5,sk_020_00_a,FishPower-1,Etc,Icon_Sk_020,1,,,,,,,,,,,,,,,,,
sk_021_00,천천히 하자 1,sk_021_00_a,FishSpell-1,Etc,Icon_Sk_021,1,,,,,,,,,,,,,,,,,
sk_021_01,천천히 하자 2,sk_021_00_a,FishSpell-1,Etc,Icon_Sk_021,1,,,,,,,,,,,,,,,,,
sk_021_02,천천히 하자 3,sk_021_00_a,FishSpell-1,Etc,Icon_Sk_021,1,,,,,,,,,,,,,,,,,
sk_021_03,천천히 하자 4,sk_021_00_a,FishSpell-1,Etc,Icon_Sk_021,1,,,,,,,,,,,,,,,,,
sk_021_04,천천히 하자 5,sk_021_00_a,FishSpell-1,Etc,Icon_Sk_021,1,,,,,,,,,,,,,,,,,
sk_022_00,공격 딜레이 1,sk_022_00_a,FishCooling+1,Etc,Icon_Sk_022,1,,,,,,,,,,,,,,,,,
sk_022_01,공격 딜레이 2,sk_022_00_a,FishCooling+1,Etc,Icon_Sk_022,1,,,,,,,,,,,,,,,,,
sk_022_02,공격 딜레이 3,sk_022_00_a,FishCooling+1,Etc,Icon_Sk_022,1,,,,,,,,,,,,,,,,,
sk_022_03,공격 딜레이 4,sk_022_00_a,FishCooling+1,Etc,Icon_Sk_022,1,,,,,,,,,,,,,,,,,
sk_022_04,공격 딜레이 5,sk_022_00_a,FishCooling+1,Etc,Icon_Sk_022,1,,,,,,,,,,,,,,,,,
sk_023_00,물멍타임 1,sk_023_00_a,FishGroggy+1,Etc,Icon_Sk_023,1,,,,,,,,,,,,,,,,,
sk_023_01,물멍타임 2,sk_023_00_a,FishGroggy+1,Etc,Icon_Sk_023,1,,,,,,,,,,,,,,,,,
sk_023_02,물멍타임 3,sk_023_00_a,FishGroggy+1,Etc,Icon_Sk_023,1,,,,,,,,,,,,,,,,,
sk_023_03,물멍타임 4,sk_023_00_a,FishGroggy+1,Etc,Icon_Sk_023,1,,,,,,,,,,,,,,,,,
sk_023_04,물멍타임 5,sk_023_00_a,FishGroggy+1,Etc,Icon_Sk_023,1,,,,,,,,,,,,,,,,,
sk_024_00,충돌 방지 확률 1,sk_024_00_a,3%,Etc,Icon_Sk_024,1,,,,,,,,,,,,,,,,,
sk_024_01,충돌 방지 확률 2,sk_024_00_a,3%,Etc,Icon_Sk_024,1,,,,,,,,,,,,,,,,,
sk_024_02,충돌 방지 확률 3,sk_024_00_a,3%,Etc,Icon_Sk_024,1,,,,,,,,,,,,,,,,,
sk_024_03,충돌 방지 확률 4,sk_024_00_a,3%,Etc,Icon_Sk_024,1,,,,,,,,,,,,,,,,,
sk_024_04,충돌 방지 확률 5,sk_024_00_a,3%,Etc,Icon_Sk_024,1,,,,,,,,,,,,,,,,,
sk_100_00,기본 배,sk_100_00_a,,ShipUnlocked,Icon_Sk_ship,1,,,,,,,,,,,,,,,,,
sk_100_01,쾌속선,sk_100_01_a,,ShipUnlocked,Icon_Sk_ship,1,,,,,,,,,,,,,,,,,
sk_100_02,땟목,sk_100_02_a,,ShipUnlocked,Icon_Sk_ship,1,,,,,,,,,,,,,,,,,
sk_100_03,크루즈,sk_100_03_a,,ShipUnlocked,Icon_Sk_ship,1,,,,,,,,,,,,,,,,,
sk_100_04,범선,sk_100_04_a,,ShipUnlocked,Icon_Sk_ship,1,,,,,,,,,,,,,,,,,
sk_100_05,통통배,sk_100_05_a,,ShipUnlocked,Icon_Sk_ship,1,,,,,,,,,,,,,,,,,
sk_100_06,오리배,sk_100_06_a,,ShipUnlocked,Icon_Sk_ship,1,,,,,,,,,,,,,,,,,
