ID,Name,Description,AddStatusString,SkillType,Icon,Price,CatchRadius,CatchSpeed,CatchPower,CatchMaxHealth,CatchAttackSpeed,ShipSpeed,MaxWeight,MaxEnergy,Efficient,MaxBoxSize,ShipHealth,Freshness,luckFish,FishAmount,FishPrice
sk_001_00,강철 낚시줄 1,낚시 영역이 넓어진다.,CatchRadius + 1,AddStatus,Icon_Sk_001,1,0.1,,,,,,,,,,,,,,
sk_001_01,강철 낚시줄 2,낚시 영역이 넓어진다.,CatchRadius + 1,AddStatus,Icon_Sk_001,1,0.1,,,,,,,,,,,,,,
sk_001_02,강철 낚시줄 3,낚시 영역이 넓어진다.,CatchRadius + 1,AddStatus,Icon_Sk_001,1,0.1,,,,,,,,,,,,,,
sk_001_03,강철 낚시줄 4,낚시 영역이 넓어진다.,CatchRadius + 1,AddStatus,Icon_Sk_001,1,0.1,,,,,,,,,,,,,,
sk_001_04,강철 낚시줄 5,낚시 영역이 넓어진다.,CatchRadius + 1,AddStatus,Icon_Sk_001,1,0.1,,,,,,,,,,,,,,
sk_001_05,강철 낚시줄 6,낚시 영역이 넓어진다.,CatchRadius + 1,AddStatus,Icon_Sk_001,1,0.1,,,,,,,,,,,,,,
sk_001_06,강철 낚시줄 7,낚시 영역이 넓어진다.,CatchRadius + 1,AddStatus,Icon_Sk_001,1,0.1,,,,,,,,,,,,,,
sk_001_07,강철 낚시줄 8,낚시 영역이 넓어진다.,CatchRadius + 1,AddStatus,Icon_Sk_001,1,0.1,,,,,,,,,,,,,,
sk_001_08,강철 낚시줄 9,낚시 영역이 넓어진다.,CatchRadius + 1,AddStatus,Icon_Sk_001,1,0.1,,,,,,,,,,,,,,
sk_001_09,강철 낚시줄 10,낚시 영역이 넓어진다.,CatchRadius + 1,AddStatus,Icon_Sk_001,1,0.1,,,,,,,,,,,,,,
sk_002_00,강력한 이두근 1,물고기의 체력을 빠르게 빼앗는다.,CatchPower + 1,AddStatus,Icon_Sk_002,1,,,1,,,,,,,,,,,,
sk_003_00,재빠른 손놀림,낚시의 컨트롤이 빨라진다.,CatchSpeed + 1,AddStatus,Icon_Sk_003,1,,1,,,,,,,,,,,,,
sk_004_00,신들린 컨트롤,배의 속도가 빨라진다.,ShipSpeed + 1,AddStatus,Icon_Sk_004,1,,,,,,1,,,,,,,,,
sk_005_00,욕심쟁이,실을 수 있는 무게가 늘어난다.,MaxWeight + 1,AddStatus,Icon_Sk_005,1,,,,,,,1,,,,,,,,
sk_006_00,방랑자,연료를 더 많이 넣을 수 있다.,MaxEnergy + 1,AddStatus,Icon_Sk_006,1,,,,,,,,1,,,,,,,
sk_007_00,친환경,연료의 효율이 좋아진다.,MaxEfficient + 1,AddStatus,Icon_Sk_007,-0.1,,,,,,,,,1,,,,,,
sk_008_00,더 많이!!,인벤토리가 1열 늘어난다.,MaxBoxSize + 1,AddStatus,Icon_Sk_008,1,,,,,,,,,,1;0,,,,,
sk_009_00,두꺼운 피부,선박이 충격에 강해진다.,ShipHealth + 1,AddStatus,Icon_Sk_009,1,,,,,,,,,,,1,,,,
sk_010_00,행운,일정 확률로 희귀한 물고기가 등장한다.,LockFish + 1,AddStatus,Icon_Sk_010,1,,,,,,,,,,,,,1,,
sk_011_00,일타쌍피,일정 확률로 추가 물고기를 낚는다.,FishAmount + 1,AddStatus,Icon_Sk_011,1,,,,,,,,,,,,,,1,
sk_012_00,뒷통수,상점에 물고기를 더 비싸게 판매,FishPrice + 1,AddStatus,Icon_Sk_012,1,,,,,,,,,,,,,,,1
sk_013_00,창고확장??? 만들까?,창고를 사용하려면 아이템이 많아야,aa,AddStatus,Icon_Sk_001,1,,,,,,,,,,,,,,,
sk_100_00,통통배,낚시용 기본 배,,ShipUnlocked,Paw,100,,,,,,,,,,,,,,,
sk_100_01,쾌속선,빠른 지만 가벼운 만큼 약하다.,,ShipUnlocked,Paw,100,,,,,,,,,,,,,,,
sk_100_02,땟목,최초의 배 친환경적이다.,,ShipUnlocked,Paw,100,,,,,,,,,,,,,,,
sk_100_03,크루즈,호화로운 배. 여객선인 만큼 아주 튼튼하다.,,ShipUnlocked,Paw,100,,,,,,,,,,,,,,,
sk_100_04,범선,행운은 언제나 바람을 따라 오는 법,,ShipUnlocked,Paw,,,,,,,,,,,,,,,,
sk_100_05,통통배,낚시 전문가들이 선택한 그배.,,ShipUnlocked,Paw,,,,,,,,,,,,,,,,
sk_100_06,오리배,물고기가 사랑한 자연 친화적인 배,,ShipUnlocked,Paw,,,,,,,,,,,,,,,,
