ID,Name,Description,Icon,Item Class,Shape,Weight,Price,Item Type,Etc Value,Buff Duration,Skill ID
us_1001,smalloiltank,us_1001_01,Item_Oilcan,Common,-,3,10,Fuel,3,0,-
us_2001,repairkit,us_2001_01,Item_RepairKit,Common,-,1,5,Repare,0,0,-
us_3001,lugworm,us_3001_01,Item_Bait_Worm,Uncommon,-,1,5,Fish,0,100,-
us_3002,lugworm,us_3002_01,fs_1002_mackerel,Epic,1;0,1,5,Buff,0,100,sk_002_00
us_4001,lotterytoto,us_4001_01,Item_Lottery,Common,-,1,100,Lottery,0,0,-
us_6001,badanews,us_6001_01,Item_Quest,Common,0;1,1,100,Etc,0,0,-
us_6002,순간이동,us_6002_01,Item_Quest,Common,0;1,1,100,Etc,0,0,-
us_5003,brownmoneypouch,us_5003_01,Icon_Sk_012,Common,-,1,100,Money,100,0,-
us_5004,bluemoneypouch,us_5004_01,Icon_Sk_012,Common,-,1,500,Money,500,0,-
,,_01,,,,,,,,,
,,_01,,,,,,,,,
,,_01,,,,,,,,,
,,_01,,,,,,,,,
,,_01,,,,,,,,,
,,_01,,,,,,,,,
