ID,Name,Description,Icon,Max Amount,Shape,Weight,Price,Type,Size,Health,Power,FieldRadius,Speed,AttckSpeed,Turn Delay,Hit Value
Fs_1001,Herring,청어,2D_LargemouthBass_2D,1,-1;0/0;1,0.2,200,Agility,10;20,10,1,10,1,1,1;3,0.1;0.5
Fs_1002,Rockfish,볼락,2D_LargemouthBass_2D,1,-1;0/0;1,0.2,280,Strength,20;45,10,1,10,1,1,1;4,0.1;0.5
Fs_1003,Mackerel,고등어,2D_LargemouthBass_2D,1,-1;0/0;1,0.2,250,Health,30;50,10,1,10,1,1,0.3;1.5,0.1;0.5
Fs_1004,Horse Mackerel,전갱이,2D_LargemouthBass_2D,1,-1;0/0;1,0.2,180,Agility,15;30,10,1,10,1,1,1;3,0.1;0.5
Fs_1005,Sea Bass,농어,2D_LargemouthBass_2D,1,-1;0/0;1,0.6,600,Strength,50;100,10,1,10,1,1,1;3,0.1;0.5
Fs_1006,Red Sea Bream,참돔,2D_LargemouthBass_2D,1,-1;0/0;1,0.4,500,Strength,40;80,10,1,10,1,1,1;3,0.1;0.5
Fs_1007,Black Sea Bream,감성돔,2D_LargemouthBass_2D,1,-1;0/0;1,0.4,450,Strength,30;60,10,1,10,1,1,1;3,0.1;0.5
Fs_1008,Flounder,광어,2D_LargemouthBass_2D,1,-1;0/0;1,0.4,550,Health,30;70,10,1,10,1,1,1;3,0.1;0.5
Fs_1009,Striped Beakfish,돌돔,2D_LargemouthBass_2D,1,-1;0/0;1,0.4,400,Strength,25;50,10,1,10,1,1,1;3,0.1;0.5
Fs_1010,Mullet,숭어,2D_LargemouthBass_2D,1,-1;0/0;1,0.8,350,Health,45;90,10,1,10,1,1,1;3,0.1;0.5
Fs_1011,Old Tire,낡은 타이어,2D_LargemouthBass_2D,1,-1;0/0;1,1.2,10,Strength,8;0,10,1,10,1,1,1;3,0.1;0.5
Fs_1012,Plastic Bottle,페트병,2D_LargemouthBass_2D,1,-1;0/0;1,0.2,5,Agility,3;0,10,1,10,1,1,1;3,0.1;0.5
Fs_1013,Rusty Can,녹슨 깡통,2D_LargemouthBass_2D,1,-1;0/0;1,0.2,15,Agility,2;0,10,1,10,1,1,1;3,0.1;0.5
Fs_1014,Scrap Wood,폐목재,2D_LargemouthBass_2D,1,-1;0/0;1,0.5,20,Health,6;0,10,1,10,1,1,1;3,0.1;0.5
Fs_1015,Common Engine Parts,일반 엔진 재료,2D_LargemouthBass_2D,1,-1;0/0;1,1.5,500,Strength,10;0,10,1,10,1,1,1;3,0.1;0.5
